,Owner,Session ID,Mouse ID,Date,Phase,Markov,Left Reward Prob,Right Reward Prob,Block Range Min,Block Range Max,No. Trials,No. Blocks,No. Rewards,p(high Port),Decision Window Duration,Min Inter-trial-interval,Left Solenoid Duration,Right Solenoid Duration
97,celia,10112017_Mustard,Mustard,2017-10-11,2.0,1,0.2,0.8,,,649.0,12.0,466.0,0.89,2.0,1.0,35.0,35.0
98,celia,10122017_Mustard,Mustard,2017-10-12,2.0,1,0.8,0.2,,,683.0,16.0,465.0,0.82,2.0,1.0,40.0,40.0
99,celia,10132017_Mustard,Mustard,2017-10-13,2.0,1,0.2,0.8,,,626.0,16.0,440.0,0.81,2.0,1.0,35.0,35.0
100,celia,10162017_Mustard,Mustard,2017-10-16,2.0,1,0.8,0.2,,,559.0,10.0,400.0,0.85,2.0,1.0,35.0,35.0
132,celia,09152017_Raspberry,Raspberry,2017-09-15,2.0,1,0.8,0.2,,,770.0,18.0,517.0,0.81,2.0,1.0,40.0,40.0
133,celia,09182017_Raspberry,Raspberry,2017-09-18,2.0,1,0.8,0.2,,,737.0,13.0,524.0,0.81,2.0,1.0,40.0,40.0
134,celia,09192017_Raspberry,Raspberry,2017-09-19,2.0,1,0.8,0.2,,,698.0,14.0,474.0,0.8,2.0,1.0,40.0,40.0
135,celia,09202017_Raspberry,Raspberry,2017-09-20,2.0,1,0.8,0.2,,,1128.0,31.0,779.0,0.82,2.0,1.0,40.0,40.0
136,celia,09212017_Raspberry,Raspberry,2017-09-21,2.0,1,0.2,0.8,,,785.0,11.0,569.0,0.85,2.0,1.0,40.0,40.0
137,celia,09222017_Raspberry,Raspberry,2017-09-22,2.0,1,0.8,0.2,,,681.0,13.0,460.0,0.84,2.0,1.0,40.0,40.0
138,celia,09252017_Raspberry,Raspberry,2017-09-25,2.0,1,0.8,0.2,,,906.0,14.0,622.0,0.82,2.0,1.0,40.0,40.0
139,celia,09262017_Raspberry,Raspberry,2017-09-26,2.0,1,0.8,0.2,,,747.0,15.0,491.0,0.76,2.0,1.0,40.0,40.0
140,celia,09272017_Raspberry,Raspberry,2017-09-27,2.0,1,0.2,0.8,,,727.0,7.0,459.0,0.74,2.0,1.0,40.0,40.0
142,celia,09292017_Raspberry,Raspberry,2017-09-29,2.0,0,0.2,0.8,50.0,50.0,816.0,11.0,585.0,0.85,2.0,1.0,40.0,40.0
143,celia,10032017_Raspberry,Raspberry,2017-10-03,2.0,1,0.2,0.8,,,883.0,14.0,604.0,0.85,2.0,1.0,40.0,40.0
144,celia,10042017_Raspberry,Raspberry,2017-10-04,2.0,1,0.8,0.2,,,818.0,14.0,541.0,0.76,2.0,1.0,40.0,40.0
145,celia,10052017_Raspberry,Raspberry,2017-10-05,2.0,1,0.8,0.2,,,877.0,11.0,615.0,0.87,2.0,1.0,40.0,40.0
147,celia,10092017_Raspberry,Raspberry,2017-10-09,2.0,1,0.8,0.2,,,851.0,17.0,590.0,0.84,2.0,1.0,40.0,40.0
148,celia,10102017_Raspberry,Raspberry,2017-10-10,2.0,1,0.2,0.8,,,852.0,17.0,590.0,0.84,2.0,1.0,40.0,40.0
149,celia,10112017_Raspberry,Raspberry,2017-10-11,2.0,1,0.2,0.8,,,835.0,14.0,595.0,0.86,2.0,1.0,40.0,40.0
150,celia,10122017_Raspberry,Raspberry,2017-10-12,2.0,1,0.2,0.8,,,1006.0,21.0,717.0,0.83,2.0,1.0,40.0,40.0
183,celia,09192017_Sky,Sky,2017-09-19,2.0,1,0.8,0.2,,,714.0,15.0,489.0,0.85,2.0,1.0,40.0,40.0
184,celia,09202017_Sky,Sky,2017-09-20,2.0,1,0.2,0.8,,,765.0,14.0,550.0,0.88,2.0,1.0,40.0,40.0
185,celia,09212017_Sky,Sky,2017-09-21,2.0,1,0.2,0.8,,,718.0,14.0,520.0,0.87,2.0,1.0,40.0,40.0
186,celia,09222017_Sky,Sky,2017-09-22,2.0,1,0.8,0.2,,,732.0,18.0,533.0,0.86,2.0,1.0,40.0,40.0
187,celia,09252017_Sky,Sky,2017-09-25,2.0,1,0.8,0.2,,,778.0,11.0,573.0,0.88,2.0,1.0,40.0,40.0
188,celia,09262017_Sky,Sky,2017-09-26,2.0,1,0.8,0.2,,,738.0,16.0,493.0,0.8,2.0,1.0,40.0,40.0
189,celia,09272017_Sky,Sky,2017-09-27,2.0,1,0.8,0.2,,,690.0,23.0,466.0,0.79,2.0,1.0,40.0,40.0
190,celia,09282017_Sky,Sky,2017-09-28,2.0,1,0.2,0.8,,,718.0,15.0,517.0,0.85,2.0,1.0,40.0,40.0
191,celia,09292017_Sky,Sky,2017-09-29,2.0,1,0.8,0.2,,,681.0,11.0,481.0,0.79,2.0,1.0,40.0,40.0
192,celia,10032017_Sky,Sky,2017-10-03,2.0,1,0.8,0.2,,,856.0,14.0,624.0,0.91,2.0,1.0,40.0,40.0
193,celia,10042017_Sky,Sky,2017-10-04,2.0,1,0.8,0.2,,,767.0,21.0,535.0,0.83,2.0,1.0,40.0,40.0
194,celia,10052017_Sky,Sky,2017-10-05,2.0,1,0.8,0.2,,,914.0,26.0,627.0,0.81,2.0,1.0,40.0,40.0
195,celia,10072017_Sky,Sky,2017-10-07,2.0,1,0.8,0.2,,,805.0,17.0,573.0,0.88,2.0,1.0,40.0,40.0
196,celia,10092017_Sky,Sky,2017-10-09,2.0,1,0.8,0.2,,,658.0,12.0,447.0,0.81,2.0,1.0,40.0,40.0
197,celia,10102017_Sky,Sky,2017-10-10,2.0,1,0.8,0.2,,,875.0,15.0,614.0,0.81,2.0,1.0,40.0,40.0
198,celia,10112017_Sky,Sky,2017-10-11,2.0,1,0.2,0.8,,,798.0,11.0,583.0,0.9,2.0,1.0,40.0,40.0
199,celia,10122017_Sky,Sky,2017-10-12,2.0,1,0.8,0.2,,,780.0,10.0,575.0,0.87,2.0,1.0,40.0,40.0
200,celia,10132017_Sky,Sky,2017-10-13,2.0,1,0.2,0.8,,,787.0,11.0,584.0,0.9,2.0,1.0,40.0,40.0
201,celia,10162017_Sky,Sky,2017-10-16,2.0,1,0.2,0.8,,,786.0,24.0,536.0,0.83,2.0,1.0,40.0,40.0
239,celia,09262017_Wine,Wine,2017-09-26,2.0,1,0.8,0.2,,,697.0,20.0,486.0,0.78,2.0,1.0,40.0,40.0
240,celia,09282017_Wine,Wine,2017-09-28,2.0,1,0.8,0.2,,,770.0,19.0,526.0,0.81,2.0,1.0,40.0,40.0
241,celia,09292017_Wine,Wine,2017-09-29,2.0,1,0.2,0.8,,,684.0,11.0,478.0,0.85,2.0,1.0,40.0,40.0
242,celia,10032017_Wine,Wine,2017-10-03,2.0,1,0.8,0.2,,,745.0,17.0,533.0,0.88,2.0,1.0,40.0,40.0
243,celia,10042017_Wine,Wine,2017-10-04,2.0,1,0.8,0.2,,,598.0,16.0,395.0,0.76,2.0,1.0,40.0,40.0
244,celia,10052017_Wine,Wine,2017-10-05,2.0,1,0.8,0.2,,,752.0,11.0,531.0,0.85,2.0,1.0,40.0,40.0
245,celia,10072017_Wine,Wine,2017-10-07,2.0,1,0.8,0.2,,,669.0,11.0,444.0,0.82,2.0,1.0,40.0,40.0
246,celia,10092017_Wine,Wine,2017-10-09,2.0,1,0.8,0.2,,,750.0,14.0,534.0,0.86,2.0,1.0,40.0,40.0
247,celia,10102017_Wine,Wine,2017-10-10,2.0,1,0.2,0.8,,,835.0,13.0,599.0,0.91,2.0,1.0,40.0,40.0
248,celia,10112017_Wine,Wine,2017-10-11,2.0,1,0.8,0.2,,,845.0,19.0,592.0,0.84,2.0,1.0,40.0,40.0
249,celia,10122017_Wine,Wine,2017-10-12,2.0,1,0.2,0.8,,,959.0,23.0,695.0,0.85,2.0,1.0,40.0,40.0
250,celia,10162017_Wine,Wine,2017-10-16,2.0,1,0.2,0.8,,,811.0,14.0,572.0,0.85,2.0,1.0,40.0,40.0
