,Owner,Session ID,Mouse ID,Date,Phase,Markov,Left Reward Prob,Right Reward Prob,Block Range Min,Block Range Max,No. Trials,No. Blocks,No. Rewards,p(high Port),Decision Window Duration,Min Inter-trial-interval,Left Solenoid Duration,Right Solenoid Duration
63,celia,08232017_Mustard,Mustard,2017-08-23,2.0,1,0.9,0.1,,,416.0,5.0,325.0,0.87,2.0,1.0,45.0,45.0
64,celia,08242017_Mustard,Mustard,2017-08-24,2.0,1,0.1,0.9,,,531.0,6.0,390.0,0.8,2.0,1.0,45.0,45.0
65,celia,08252017_Mustard,Mustard,2017-08-25,2.0,1,0.9,0.1,,,535.0,5.0,388.0,0.78,2.0,1.0,40.0,40.0
66,celia,08282017_Mustard,Mustard,2017-08-28,2.0,1,0.1,0.9,,,588.0,13.0,442.0,0.81,2.0,1.0,40.0,40.0
67,celia,08292017_Mustard,Mustard,2017-08-29,2.0,1,0.9,0.1,,,296.0,7.0,208.0,0.77,2.0,1.0,40.0,40.0
68,celia,08302017_Mustard,Mustard,2017-08-30,2.0,1,0.9,0.1,,,500.0,10.0,380.0,0.87,2.0,1.0,40.0,40.0
69,celia,08312017_Mustard,Mustard,2017-08-31,2.0,1,0.9,0.1,,,365.0,7.0,257.0,0.75,2.0,1.0,40.0,40.0
70,celia,09012017_Mustard,Mustard,2017-09-01,2.0,1,0.9,0.1,,,196.0,2.0,151.0,0.85,2.0,1.0,40.0,40.0
71,celia,09042017_Mustard,Mustard,2017-09-04,2.0,1,0.9,0.1,,,612.0,19.0,472.0,0.83,2.0,1.0,40.0,40.0
72,celia,09052017_Mustard,Mustard,2017-09-05,2.0,1,0.9,0.1,,,681.0,12.0,553.0,0.88,2.0,1.0,40.0,40.0
73,celia,09062017_Mustard,Mustard,2017-09-06,2.0,1,0.1,0.9,,,845.0,18.0,666.0,0.86,2.0,1.0,40.0,40.0
74,celia,09072017_Mustard,Mustard,2017-09-07,2.0,1,0.1,0.9,,,730.0,15.0,570.0,0.85,2.0,1.0,40.0,40.0
75,celia,09082017_Mustard,Mustard,2017-09-08,2.0,1,0.1,0.9,,,467.0,10.0,362.0,0.83,2.0,1.0,40.0,40.0
76,celia,09112017_Mustard,Mustard,2017-09-11,2.0,1,0.9,0.1,,,644.0,14.0,498.0,0.84,2.0,1.0,40.0,40.0
114,celia,08222017_Raspberry,Raspberry,2017-08-22,2.0,0,0.1,0.9,50.0,50.0,422.0,6.0,300.0,0.78,2.0,1.0,45.0,45.0
115,celia,08232017_Raspberry,Raspberry,2017-08-23,2.0,1,0.1,0.9,,,452.0,9.0,350.0,0.83,2.0,1.0,45.0,45.0
116,celia,08242017_Raspberry,Raspberry,2017-08-24,2.0,1,0.9,0.1,,,357.0,3.0,249.0,0.75,2.0,1.0,40.0,40.0
117,celia,08252017_Raspberry,Raspberry,2017-08-25,2.0,1,0.9,0.1,,,630.0,2.0,527.0,0.9,2.0,1.0,40.0,40.0
118,celia,08282017_Raspberry,Raspberry,2017-08-28,2.0,1,0.1,0.9,,,467.0,10.0,336.0,0.81,2.0,1.0,40.0,40.0
123,celia,09042017_Raspberry,Raspberry,2017-09-04,2.0,1,0.1,0.9,,,636.0,13.0,479.0,0.82,2.0,1.0,40.0,40.0
124,celia,09052017_Raspberry,Raspberry,2017-09-05,2.0,1,0.9,0.1,,,614.0,11.0,472.0,0.84,2.0,1.0,40.0,40.0
125,celia,09062017_Raspberry,Raspberry,2017-09-06,2.0,1,0.1,0.9,,,745.0,15.0,549.0,0.81,2.0,1.0,40.0,40.0
126,celia,09072017_Raspberry,Raspberry,2017-09-07,2.0,1,0.1,0.9,,,651.0,12.0,501.0,0.84,2.0,1.0,40.0,40.0
127,celia,09082017_Raspberry,Raspberry,2017-09-08,2.0,1,0.9,0.1,,,579.0,8.0,402.0,0.75,2.0,1.0,40.0,40.0
128,celia,09112017_Raspberry,Raspberry,2017-09-11,2.0,1,0.1,0.9,,,756.0,14.0,557.0,0.81,2.0,1.0,40.0,40.0
129,celia,09122017_Raspberry,Raspberry,2017-09-12,2.0,1,0.9,0.1,,,715.0,16.0,540.0,0.83,2.0,1.0,40.0,40.0
130,celia,09132017_Raspberry,Raspberry,2017-09-13,2.0,1,0.9,0.1,,,702.0,13.0,559.0,0.89,2.0,1.0,40.0,40.0
131,celia,09142017_Raspberry,Raspberry,2017-09-14,2.0,1,0.1,0.9,,,729.0,16.0,575.0,0.88,2.0,1.0,40.0,40.0
166,celia,08222017_Sky,Sky,2017-08-22,2.0,0,0.9,0.1,50.0,50.0,71.0,1.0,53.0,0.77,10.0,1.0,45.0,45.0
173,celia,08312017_Sky,Sky,2017-08-31,2.0,0,0.9,0.1,50.0,50.0,465.0,6.0,301.0,0.71,5.0,1.0,45.0,45.0
174,celia,09012017_Sky,Sky,2017-09-01,2.0,0,0.1,0.9,50.0,50.0,451.0,6.0,334.0,0.78,5.0,1.0,45.0,45.0
175,celia,09042017_Sky,Sky,2017-09-04,2.0,1,0.9,0.1,,,661.0,15.0,508.0,0.82,3.0,1.0,45.0,45.0
176,celia,09072017_Sky,Sky,2017-09-07,2.0,1,0.1,0.9,,,816.0,20.0,631.0,0.85,2.0,1.0,45.0,45.0
